Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
0,-0.8250342298800831,0.00041484624840820716,1,0,1,0,0,-0.3045174163605091,-2.4655379774633057,-1.4800337474133236,-2.0832243070150342,-0.2876857311500217,-2.7826911557917358,-1.4290139492910132,-1.8310853697339375,Dropout
0,2.0458046742478526,1.040849237257138,1,0,0,0,0,-0.3045174163605091,-0.13128815572234495,0.37330581555236303,0.6852169811434977,-0.2876857311500217,-0.1310017362457082,0.46855487253304884,0.6623828218128862,Graduate
0,-0.8250342298800831,-0.17070923122013287,1,0,0,0,0,-0.3045174163605091,-0.13128815572234495,-1.4800337474133236,-2.0832243070150342,-0.2876857311500217,-0.1310017362457082,-1.4290139492910132,-1.8310853697339375,Dropout
0,-0.8250342298800831,-0.5266473123546985,1,0,1,1,0,-0.3045174163605091,-0.13128815572234495,0.37330581555236303,0.5722193775451904,-0.2876857311500217,-0.1310017362457082,0.15229340222903848,0.4312808918646442,Graduate
1,-2.48709885858573,0.9723996062697218,0,0,1,1,0,-0.3045174163605091,-0.13128815572234495,0.06441588839141525,0.3556406373151012,-0.2876857311500217,-0.1310017362457082,0.46855487253304884,0.5407502271032851,Graduate
1,0.013552923694129249,-0.8552055410942973,0,1,1,0,0,-0.3045174163605091,-0.5203297926791717,0.06441588839141525,0.26147596764984504,-0.2876857311500217,-0.5729499728367128,0.15229340222903848,0.2670768890066825,Graduate
0,0.6859336143977778,0.07570944033456686,1,0,1,1,1,-0.3045174163605091,0.25775348123448183,0.6821957427133108,0.5467949167355713,-0.2876857311500217,0.7528947369363009,1.1010778131410695,0.7861439869299056,Graduate
0,-1.0516794065217623,-0.9715699137729054,1,0,0,0,0,-0.3045174163605091,-0.5203297926791717,-1.4800337474133236,-2.0832243070150342,-0.2876857311500217,-0.5729499728367128,-1.4290139492910132,-1.8310853697339375,Dropout
0,0.30819165332831255,0.13731410822324205,0,0,1,1,1,-0.3045174163605091,-0.13128815572234495,0.37330581555236303,0.660498755356368,-0.2876857311500217,-0.1310017362457082,0.46855487253304884,0.7492632466054585,Graduate
0,0.3837400455422056,-0.29391856699748226,1,1,0,1,0,-0.3045174163605091,-0.13128815572234495,0.06441588839141525,0.17107788477119906,-0.2876857311500217,-0.1310017362457082,-0.7964910086829925,0.631974673135486,Dropout
0,0.4592884377560986,0.22629862850688223,1,0,1,1,0,-0.3045174163605091,-0.13128815572234495,0.37330581555236303,0.3556406373151012,-0.2876857311500217,-0.1310017362457082,0.15229340222903848,0.7596888975805671,Graduate
0,0.23264326111441952,-0.5471822016509232,1,0,1,1,1,-0.3045174163605091,0.6467951181913085,0.6821957427133108,0.5298452761958249,-0.2876857311500217,0.7528947369363009,0.7848163428370591,0.5798464182599425,Graduate
0,0.005998084472740374,0.19891877611191527,1,0,1,1,0,-0.3045174163605091,-0.13128815572234495,-1.4800337474133236,-2.0832243070150342,-0.2876857311500217,-0.1310017362457082,-1.4290139492910132,-1.8310853697339375,Dropout
0,-1.7316149364467996,-1.0605544340565465,1,0,1,1,1,-0.3045174163605091,-0.13128815572234495,0.37330581555236303,0.007231359553653177,-0.2876857311500217,-0.1310017362457082,0.15229340222903848,0.17585244297448166,Graduate
0,1.214772359895029,0.671221229925089,1,0,1,1,1,-0.3045174163605091,-0.5203297926791717,-0.24447403876953253,0.5369076264207193,-0.2876857311500217,-0.5729499728367128,0.15229340222903848,0.3583013350388834,Graduate
0,-0.4472922688106179,-0.45135271826853984,1,0,1,1,0,-0.3045174163605091,-0.13128815572234495,0.06441588839141525,0.5270203361058672,-0.2876857311500217,-0.1310017362457082,-1.4290139492910132,-1.8310853697339375,Dropout
0,0.15709486890052646,0.00041484624840820716,1,0,1,1,0,-0.3045174163605091,0.25775348123448183,0.6821957427133108,0.5480308280249278,-0.2876857311500217,0.7528947369363009,1.1010778131410695,0.8226337653427859,Graduate
0,0.30819165332831255,0.6164615251351571,1,0,1,1,0,-0.3045174163605091,-0.5203297926791717,-0.24447403876953253,0.38859827169794076,-0.2876857311500217,-0.5729499728367128,-0.16396806807497186,0.40391355805498386,Graduate
0,-0.8250342298800831,-0.47873257066350683,0,0,1,1,1,-0.3045174163605091,-2.4655379774633057,-1.4800337474133236,-2.0832243070150342,-0.2876857311500217,-2.7826911557917358,-1.4290139492910132,-1.8310853697339375,Graduate
0,0.6859336143977778,-0.12279448952894118,1,0,1,1,0,-0.3045174163605091,0.6467951181913085,0.6821957427133108,0.459221773946883,-0.2876857311500217,0.7528947369363009,0.7848163428370591,0.5146860996655136,Graduate
0,-0.598389053238404,-0.848360577995555,1,0,1,1,1,-0.3045174163605091,-0.13128815572234495,0.37330581555236303,0.561625852207849,-0.2876857311500217,-0.1310017362457082,0.46855487253304884,0.4104295899144269,Graduate
0,-0.522840661024511,-0.2323138991088071,0,0,1,1,0,-0.3045174163605091,0.25775348123448183,0.37330581555236303,0.5461357640479148,-0.2876857311500217,0.7528947369363009,0.7848163428370591,0.7440504211179042,Graduate
0,-1.3538729753773344,-0.7456861315144303,1,0,1,1,0,-0.3045174163605091,-0.13128815572234495,0.37330581555236303,0.16613423961377305,-0.2876857311500217,-0.1310017362457082,0.46855487253304884,0.5928784819788286,Graduate
0,0.15709486890052646,-0.35552323488615745,1,0,1,1,0,-0.3045174163605091,-0.5203297926791717,0.06441588839141525,0.28972536854942177,-0.2876857311500217,-0.5729499728367128,0.15229340222903848,0.4191176323936841,Graduate
0,-0.598389053238404,0.18522884991443278,1,0,1,0,0,0.5029319783718854,-0.13128815572234495,0.37330581555236303,0.45451354046362025,-0.2876857311500217,-0.1310017362457082,-0.16396806807497186,0.6137297839290459,Graduate
1,0.3837400455422056,0.49325218935780674,1,0,1,1,0,-0.3045174163605091,-0.13128815572234495,0.37330581555236303,0.4215559060807803,-0.2876857311500217,-0.1310017362457082,0.46855487253304884,0.7916174536918376,Graduate
1,-0.22064709216893877,0.2810583332968162,0,0,1,0,0,-0.3045174163605091,-0.5203297926791717,0.06441588839141525,0.36882369106823704,-0.2876857311500217,-0.5729499728367128,0.15229340222903848,0.6189426094166003,Graduate
